no,Site,Plot,herbivory
1,2,1,0
2,2,3,3.703703704
3,3,2,14.66
4,3,4,6
5,17,3,9.25925926
6,22,1,8.333333333
7,22,2,4
8,22,3,4.666666667
9,22,4,2.666666667
10,24,1,6
11,24,4,2
12,25,4,10.25641026
13,26,3,9.259259259
14,27,1,6.666666667
15,27,2,10
16,27,4,4.166666667
17,31,1,0
18,31,2,0
19,31,4,3.333333333
20,38,1,5.555555556
21,38,2,5.333333333
22,38,3,3.333333333
23,38,4,1.333333333
24,39,2,2.666666667
25,39,3,0.666666667
26,39,4,0.666666667
27,40,1,3.952380952
28,40,2,0
29,40,3,0
30,40,4,0
