Site,Plot,LON,LAT,Altitude,SWC,pH,STC,STN,soilPC,herbivory,flavonoid,saponin,tannin,biomass,richness,shannon,pielou,bio1,bio4,bio5,bio6,bio12,bio13,bio14,bio15,diandaolv
8,1,101.5818,30.54291389,3927,0.376945145,5.59,69.5,5.9,0.62632,14.66666667,36.6190793,14.35587058,19.40874759,32.5419,33,2.799918622,0.800775795,2.4416666,627.755127,15.89999962,-16.20000076,698,145,2,95.31455231,100
8,2,101.5822833,30.54278333,3935,0.363220304,5.68,59.4,5.2,-0.26859,13.33333333,45.19785997,12.35540446,21.33227263,47.43116,31,2.584446801,0.752608163,2.4416666,627.755127,15.89999962,-16.20000076,698,145,2,95.31455231,95
14,1,99.00916111,28.38696111,4417,0.38968237,5.7,90.9,7.1,2.52041,12,53.77664063,16.44902802,23.25579767,28.2138,13,1.797571063,0.700821269,-0.27083334,616.2439575,11.39999962,-15.80000019,657,132,7,73.397789,94
14,3,99.00843333,28.38720833,4412,0.334190011,5.32,89.7,7.2,2.41545,8.666666667,73.00589883,16.72490412,23.94986301,28.9948,15,1.725135112,0.637039561,-0.27083334,616.2439575,11.39999962,-15.80000019,657,132,7,73.397789,117
14,4,99.00868611,28.38668333,4408,0.483630149,5.41,69.6,5.6,0.63307,9.722222222,60.85364612,20.3469302,31.25065891,22.99507,18,1.9815978,0.685585788,-0.27083334,616.2439575,11.39999962,-15.80000019,657,132,7,73.397789,111
16,3,98.55416944,29.70580833,4026,0.296332518,5.8,19.6,1.7,-3.8003,7.333333333,33.04804706,14.60986954,17.95479769,25.9456,11,1.621660098,0.676284789,2.3791666,607.4329834,15.10000038,-14.89999962,580,127,3,86.91683197,90
17,1,98.09036111,30.2282,4488,0.513450835,5.37,68,5.5,0.4914,8.666666667,56.62971429,14.23499115,24.48015968,38.0772,11,1.014803868,0.423206084,0.97083324,618.5153198,14.60000038,-16.70000076,575,127,3,90.0099411,113
17,2,98.09088611,30.2282,4486,0.378253678,5.38,47.8,3.8,-1.30055,7.333333333,49.83852998,16.89915438,21.34,28.79028,12,1.501226419,0.604137954,0.97083324,618.5153198,14.60000038,-16.70000076,575,127,3,90.0099411,112
17,3,98.09086389,30.22870833,4482,0.321419966,5.49,41.1,3.7,-1.89164,6,57.41303077,20.25611791,27.10884086,31.2981,17,1.395700618,0.49262108,0.97083324,618.5153198,14.60000038,-16.70000076,575,127,3,90.0099411,106
18,1,97.26349444,30.66289444,4417,0.381700107,5.79,42.9,3.6,-1.7338,1.333333333,46.92979688,1.50228278,17.70542574,66.4145,14,1.384390651,0.52457771,1.13749993,629.6612549,14.69999981,-16,587,128,4,92.27805328,89
18,2,97.26349444,30.66289444,4417,0.381700107,5.79,42.9,3.6,-1.7338,20.66666667,49.58079042,3.086319894,35.31988528,75.7011,14,1.384390651,0.52457771,1.13749993,629.6612549,14.69999981,-16,587,128,4,92.27805328,73
