Site,Plot,herbivory
2,1,3.333333333
2,2,10.66666667
2,4,11.11111111
3,1,6.944444444
7,2,3.333333333
7,3,1.333333333
8,1,9.722222222
8,3,6
8,4,2.564102564
11,4,9.722222222
12,2,11.33333333
12,4,4
16,4,2.083333333
19,2,3.703703704
21,4,1.666666667
22,4,2.777777778
23,3,9.259259259
25,1,0
25,3,6.666666667
26,1,8.333333333
26,3,4.166666667
27,2,6.666666667
28,1,2.666666667
28,2,0
28,4,0
31,2,0
31,3,1.333333333
31,4,0
37,2,0.66666667
38,3,0.877192982
39,2,1.333333333
39,3,0
40,2,1.333333333
40,4,0
42,3,0
